Job Title,Company,Location,Minimum Salary (Rupees),Maximum Salary (Rupees),Date Posted
Kubernetes Engineer,"00100 LEIDOS, INC.",6314 Remote/Teleworker US,60000,80000,2025-04-14 18:00:04
Guest Support Agent,HostGenius,World Wide,20000,20000,2025-04-12 21:59:38
Account Executive France,Hostaway,World Wide,47500,70000,2025-04-12 16:03:21
Operator,Einride,Austin,40000,80000,2025-04-12 16:03:13
High School Humanities Expert within U.S,Sora Schools,"Atlanta, GA",60000,81250,2025-04-12 16:02:44
Customer Support Specialist French &amp; German Speaking from France,Aircall,Remote EMEA,47500,70000,2025-04-12 16:02:34
Product Marketing Manager,AllTrails,Remote,30000,60000,2025-04-12 16:02:21
Tech Lead Data,Zensurance,"Toronto, ON",80000,120000,2025-04-12 16:02:02
Senior Software Engineer,Emergent Software,World Wide,67500,100000,2025-04-12 16:01:56
Senior Product Designer Europe,Hostaway,World Wide,72500,105000,2025-04-12 16:01:48
Norwegian Content Creator,TransPerfect,World Wide,60000,81250,2025-04-12 16:01:33
Engagement Manager Professional Services CST,Kong,"Dallas, TX",57500,75000,2025-04-12 16:01:25
Sales Development Representative,Dscout,United States,42500,60000,2025-04-12 16:01:15
Full Stack Developer,RainFocus,Any State,40000,80000,2025-04-12 16:00:47
Senior Experience Designer,Age of Learning ,United States,60000,90000,2025-04-12 16:00:33
Live English Transcriptionist,TransPerfect,World Wide,60000,81250,2025-04-12 16:00:19
Head of Product Design,Notabene,World Wide,35000,65000,2025-04-11 14:00:02
Head of Customer Growth Americas,Immutable,AMER,40000,80000,2025-04-11 11:00:03
BACKEND AND INFRA ENGINEER,THE BIZ CONQUEST,World Wide,10000,50000,2025-04-11 00:03:35
Junior Accountant,The Joseph Group,World Wide,20000,20000,2025-04-10 14:42:05
Business Development Lead,Anchorage Digital,United States,55000,80000,2025-04-10 09:00:02
Marketing & Sales Assistant,Weber & Co,World Wide,20000,50000,2025-04-09 23:39:01
Javascript Fullstack Engineer Senior,Lumenalta,World Wide,50000,90000,2025-04-09 20:31:20
Senior Software Engineer,SlideSpeak AI,World Wide,80000,120000,2025-04-09 15:29:12
